dd_numero;capitolo;anno_imp;importo;missione;missione_nome;programma;macro;denominazione;match
DD 5155/2025;097500011001;2025;146.400,00;14;Sviluppo economico e competitività;3;3;FONDI EUROPEI - ACQUISTO DI BENI E SERVIZI - PROGETTO iCAPITAL - VEDASI CAP. 12700008 ENTRATA - sett. 068;exact
DD 5167/2025;080200009001;2025;25.376,00;12;Diritti sociali, politiche sociali e famiglia;1;3;ASILI NIDO ED INTERVENTI INNOVATIVI PER LA PRIMA INFANZIA - ACQUISTO DI SERVIZI - NIDI E SERVIZI CONVENZIONATI - S.R.E. IVA - settore 007;exact
DD 5167/2025;080200009001;2026;44.408,00;12;Diritti sociali, politiche sociali e famiglia;1;3;ASILI NIDO ED INTERVENTI INNOVATIVI PER LA PRIMA INFANZIA - ACQUISTO DI SERVIZI - NIDI E SERVIZI CONVENZIONATI - S.R.E. IVA - settore 007;exact
DD 5169/2025;080200009001;2025;2.780,00;12;Diritti sociali, politiche sociali e famiglia;1;3;ASILI NIDO ED INTERVENTI INNOVATIVI PER LA PRIMA INFANZIA - ACQUISTO DI SERVIZI - NIDI E SERVIZI CONVENZIONATI - S.R.E. IVA - settore 007;exact
DD 5169/2025;080200009001;2026;7.645,00;12;Diritti sociali, politiche sociali e famiglia;1;3;ASILI NIDO ED INTERVENTI INNOVATIVI PER LA PRIMA INFANZIA - ACQUISTO DI SERVIZI - NIDI E SERVIZI CONVENZIONATI - S.R.E. IVA - settore 007;exact
DD 5169/2025;080200009001;2027;4.865,00;12;Diritti sociali, politiche sociali e famiglia;1;3;ASILI NIDO ED INTERVENTI INNOVATIVI PER LA PRIMA INFANZIA - ACQUISTO DI SERVIZI - NIDI E SERVIZI CONVENZIONATI - S.R.E. IVA - settore 007;exact
DD 5171/2025;080200009001;2025;2.919,00;12;Diritti sociali, politiche sociali e famiglia;1;3;ASILI NIDO ED INTERVENTI INNOVATIVI PER LA PRIMA INFANZIA - ACQUISTO DI SERVIZI - NIDI E SERVIZI CONVENZIONATI - S.R.E. IVA - settore 007;exact
DD 5171/2025;080200009001;2026;8.027,25;12;Diritti sociali, politiche sociali e famiglia;1;3;ASILI NIDO ED INTERVENTI INNOVATIVI PER LA PRIMA INFANZIA - ACQUISTO DI SERVIZI - NIDI E SERVIZI CONVENZIONATI - S.R.E. IVA - settore 007;exact
DD 5171/2025;080200009001;2027;5.108,25;12;Diritti sociali, politiche sociali e famiglia;1;3;ASILI NIDO ED INTERVENTI INNOVATIVI PER LA PRIMA INFANZIA - ACQUISTO DI SERVIZI - NIDI E SERVIZI CONVENZIONATI - S.R.E. IVA - settore 007;exact
DD 5172/2025;080200009001;2025;36.140,00;12;Diritti sociali, politiche sociali e famiglia;1;3;ASILI NIDO ED INTERVENTI INNOVATIVI PER LA PRIMA INFANZIA - ACQUISTO DI SERVIZI - NIDI E SERVIZI CONVENZIONATI - S.R.E. IVA - settore 007;exact
DD 5172/2025;080200009001;2026;63.245,00;12;Diritti sociali, politiche sociali e famiglia;1;3;ASILI NIDO ED INTERVENTI INNOVATIVI PER LA PRIMA INFANZIA - ACQUISTO DI SERVIZI - NIDI E SERVIZI CONVENZIONATI - S.R.E. IVA - settore 007;exact
DD 5173/2025;080200013001;2025;4.839,16;12;Diritti sociali, politiche sociali e famiglia;1;3;ASILI NIDO ED INTERVENTI INNOVATIVI PER LA PRIMA INFANZIA - ACQUISTO DI SERVIZI - GESTIONE ESTERNA NIDI - SPESE VARIE - SRE IVA - settore 007;exact
