cig;dd_numeri;capitoli;missioni;denominazioni_capitoli
B677F10C74;DD 2580/2025|DD 3239/2025;018300001002;01;EDILIZIA SCOLASTICA - ACQUISTO DI SERVIZI - INCARICHI DI PROGETTAZIONE - settore 031
B69310CF12;DD 2570/2025;021750002001;01;ELEZIONI - SERVIZI IN OCCASIONE DI REFERENDUM - VEDASI CAP. 5000002 ENTRATA - settore 018
B6A7EDC79A;DD 4031/2025|DD 5643/2025;108500002001;01;ORGANI ISTITUZIONALI PARTECIPAZIONE E DECENTRAMENTO - MANUTENZIONE STRAORDINARIA - settore 030
B65C8D372B;DD 2506/2025;108500002001;01;ORGANI ISTITUZIONALI PARTECIPAZIONE E DECENTRAMENTO - MANUTENZIONE STRAORDINARIA - settore 030
B6689D3BEF;DD 2137/2025|DD 4762/2025|DD 6015/2025;068300001002|068300011001;08;URBANISTICA - ACQUISTO DI SERVIZI - ATTIVITA' DI REVISIONE PRG - settore 125 || URBANISTICA - ACQUISTO DI SERVIZI - ATTIVITA' DI REVSIONE PRG - VEDASI CAP. 015100079 ENTRATA - Sett. 125
B683B3A39B;DD 2556/2025;086300008009;12;SERVIZI SOCIALI - PRESTAZIONI DI SERVIZI - INTERVENTI A FAVORE DI STRANIERI E NOMADI - FORMAZIONE - VEDASI CAP. 6570000- ENTRATA - settore 019
B6557332FF;DD 2182/2025;008700000001|034300009001;01|03;ERARIO C/I.V.A. - I.V.A. A DEBITO - settore 024 || P0LIZIA MUNICIPALE - PRESTAZIONI DI SERVIZI - FORMAZIONE ED AGGIORNAMENTO PERSONALE POLIZIA MUNICIPALE - VEDASI CAP. 8700000 ENTRATA - settore 048
B68863EB3D;DD 2511/2025;008700000001|034100008004;01|03;ERARIO C/I.V.A. - I.V.A. A DEBITO - settore 024 || POLIZIA MUNICIPALE - ACQUISTO DI MATERIALI - ACQUISTO DI PUBBLICAZIONI - VEDASI CAP. 8700000 ENTRATA - settore 048
B649A535A9;DD 2188/2025;009800001001;01;ALTRI SERVIZI GENERALI - NOLEGGIO FOTOCOPIATORI E MACCHINE VARIE PER UFFICIO - settore 005
B690B80303;DD 2513/2025;021750002001;01;ELEZIONI - SERVIZI IN OCCASIONE DI REFERENDUM - VEDASI CAP. 5000002 ENTRATA - settore 018
B61FDD1A1C;DD 2350/2025;118630008003;01;SISTEMI INFORMATIVI - PN METRO PLUS - DIGITALIZZAZIONE E CHANGE MANAGEMENT - TO1.1.2.1.C - VEDASI CAP.032500002001 ENTRATA - SETT.27
B67EA25A61;DD 2398/2025|DD 5798/2025;002610006001;01;ALTRI SERVIZI GENERALI - ACQUISTO BENI DI CONSUMO - DISPOSITIVI ANTI- COVID - settore 005
B67A0B5024;DD 2629/2025;018940001006;01;SISTEMA SICUREZZA E PRONTO INTERVENTO - PRESTAZIONI DI SERVIZI - MANUTENZIONE E PULIZIA LOCALI - settore 111
B66D2BE86F;DD 3049/2025;020100005001;03;GESTIONE PARCO VEICOLI - UTILIZZO BENI DI TERZI - SERVIZI ESCLUSI - NOLEGGIO VEICOLI PER IL CORPO DI POLIZIA MUNICIPALE - settore 055
